"departure_airport","departure_date","amount"
Нижний Новгород - Стригино,2016-09-05,7
Челябинск - Челябинск,2016-09-05,7
Казань - Казань,2016-09-05,7
Новокузнецк - Спиченково,2016-09-05,7
Уфа - Уфа,2016-09-05,6
Иркутск - Иркутск,2016-09-05,6
Волгоград - Гумрак,2016-09-05,6
Ульяновск - Баратаевка,2016-09-05,6
Мирный - Мирный,2016-09-05,6
Белгород - Белгород,2016-09-05,6
Хабаровск - Хабаровск-Новый,2016-09-05,6
Киров - Победилово,2016-09-05,6
Петрозаводск - Бесовец,2016-09-05,6
Томск - Богашёво,2016-09-05,5
Оренбург - Оренбург-Центральный,2016-09-05,5
Чебоксары - Чебоксары,2016-09-05,5
Южно-Сахалинск - Хомутово,2016-09-05,4
Йошкар-Ола - Йошкар-Ола,2016-09-05,4
Магнитогорск - Магнитогорск,2016-09-05,4
Элиста - Элиста,2016-09-05,4
Пенза - Пенза,2016-09-05,4
Воркута - Воркута,2016-09-05,4
Тамбов - Донское,2016-09-05,4
Сыктывкар - Сыктывкар,2016-09-05,4
Архангельск - Талаги,2016-09-05,4
Омск - Омск-Центральный,2016-09-05,4
Саратов - Саратов-Центральный,2016-09-05,4
Когалым - Когалым,2016-09-05,4
Нерюнгри - Чульман,2016-09-05,4
Минеральные Воды - Минеральные Воды,2016-09-05,3
Краснодар - Краснодар,2016-09-05,3
Ульяновск - Ульяновск-Восточный,2016-09-05,3
Норильск - Норильск,2016-09-05,3
Владивосток - Владивосток,2016-09-05,3
Нижневартовск - Нижневартовск,2016-09-05,3
Абакан - Абакан,2016-09-05,3
Самара - Курумоч,2016-09-05,3
Махачкала - Уйташ,2016-09-05,3
Курган - Курган,2016-09-05,3
Нальчик - Нальчик,2016-09-05,3
Надым - Надым,2016-09-05,3
Усть-Илимск - Усть-Илимск,2016-09-05,3
Нижнекамск - Бегишево,2016-09-05,3
Ухта - Ухта,2016-09-05,3
Бугульма - Бугульма,2016-09-05,3
Урай - Петрозаводск,2016-09-05,2
Астрахань - Астрахань,2016-09-05,2
Ноябрьск - Ноябрьск,2016-09-05,2
Череповец - Череповец,2016-09-05,2
Саранск - Саранск,2016-09-05,2
Воронеж - Воронеж,2016-09-05,2
Псков - Псков,2016-09-05,2
Калининград - Храброво,2016-09-05,2
Улан-Удэ - Байкал,2016-09-05,2
Анапа - Витязево,2016-09-05,2
Барнаул - Барнаул,2016-09-05,2
Владикавказ - Беслан,2016-09-05,2
Усинск - Усинск,2016-09-05,2
Мурманск - Мурманск,2016-09-05,2
Якутск - Якутск,2016-09-05,2
Салехард - Салехард,2016-09-05,2
Курск - Курск-Восточный,2016-09-05,2
Горно-Алтайск - Горно-Алтайск,2016-09-05,2
Калуга - Калуга,2016-09-05,2
Нарьян-Мар - Нарьян-Мар,2016-09-05,2
Кемерово - Кемерово,2016-09-05,1
Белоярский - Белоярский,2016-09-05,1
Удачный - Полярный,2016-09-05,1
Усть-Кут - Усть-Кут,2016-09-05,1
Ижевск - Ижевск,2016-09-05,1
Стрежевой - Стрежевой,2016-09-05,1
Грозный - Грозный,2016-09-05,1
Ярославль - Туношна,2016-09-05,1
Благовещенск - Игнатьево,2016-09-05,1
Кызыл - Кызыл,2016-09-05,1
Орск - Орск,2016-09-05,1
Братск - Братск,2016-09-05,1
Липецк - Липецк,2016-09-05,1
Петропавловск-Камчатский - Елизово,2016-09-05,1
Ставрополь - Ставрополь,2016-09-05,1
Нягань - Нягань,2016-09-05,1
Чита - Чита,2016-09-05,1
Москва - Домодедово,2016-09-06,55
Москва - Шереметьево,2016-09-06,51
Санкт-Петербург - Пулково,2016-09-06,30
Москва - Внуково,2016-09-06,29
Новосибирск - Толмачёво,2016-09-06,17
Красноярск - Емельяново,2016-09-06,11
Пермь - Пермь,2016-09-06,10
Екатеринбург - Кольцово,2016-09-06,10
Брянск - Брянск,2016-09-06,10
Советский - Советский,2016-09-06,9
Ростов-на-Дону - Ростов-на-Дону,2016-09-06,9
Сургут - Сургут,2016-09-06,8
Казань - Казань,2016-09-06,8
Сочи - Сочи,2016-09-06,8
Новый Уренгой - Новый Уренгой,2016-09-06,8
Ханты-Мансийск - Ханты-Мансийск,2016-09-06,8
Хабаровск - Хабаровск-Новый,2016-09-06,7
Челябинск - Челябинск,2016-09-06,7
Ульяновск - Баратаевка,2016-09-06,7
Петрозаводск - Бесовец,2016-09-06,6
Киров - Победилово,2016-09-06,6
Мирный - Мирный,2016-09-06,6
Белгород - Белгород,2016-09-06,6
Тюмень - Рощино,2016-09-06,6
Уфа - Уфа,2016-09-06,6
Новокузнецк - Спиченково,2016-09-06,6
Архангельск - Талаги,2016-09-06,5
Нижний Новгород - Стригино,2016-09-06,5
Чебоксары - Чебоксары,2016-09-06,5
Оренбург - Оренбург-Центральный,2016-09-06,5
Элиста - Элиста,2016-09-06,5
Томск - Богашёво,2016-09-06,5
Иркутск - Иркутск,2016-09-06,5
Волгоград - Гумрак,2016-09-06,5
Магнитогорск - Магнитогорск,2016-09-06,4
Сыктывкар - Сыктывкар,2016-09-06,4
Ульяновск - Ульяновск-Восточный,2016-09-06,4
Курган - Курган,2016-09-06,4
Саратов - Саратов-Центральный,2016-09-06,4
Тамбов - Донское,2016-09-06,4
Ставрополь - Ставрополь,2016-09-06,4
Нижнекамск - Бегишево,2016-09-06,4
Пенза - Пенза,2016-09-06,4
Абакан - Абакан,2016-09-06,4
Воркута - Воркута,2016-09-06,4
Южно-Сахалинск - Хомутово,2016-09-06,4
Йошкар-Ола - Йошкар-Ола,2016-09-06,4
Махачкала - Уйташ,2016-09-06,3
Нерюнгри - Чульман,2016-09-06,3
Ухта - Ухта,2016-09-06,3
Минеральные Воды - Минеральные Воды,2016-09-06,3
Нальчик - Нальчик,2016-09-06,3
Нижневартовск - Нижневартовск,2016-09-06,3
Калуга - Калуга,2016-09-06,3
Усть-Илимск - Усть-Илимск,2016-09-06,3
Анапа - Витязево,2016-09-06,3
Калининград - Храброво,2016-09-06,3
Бугульма - Бугульма,2016-09-06,3
Когалым - Когалым,2016-09-06,3
Геленджик - Геленджик,2016-09-06,3
Нарьян-Мар - Нарьян-Мар,2016-09-06,3
Краснодар - Краснодар,2016-09-06,3
Самара - Курумоч,2016-09-06,3
Ноябрьск - Ноябрьск,2016-09-06,3
Владивосток - Владивосток,2016-09-06,3
Омск - Омск-Центральный,2016-09-06,3
Урай - Петрозаводск,2016-09-06,2
Владикавказ - Беслан,2016-09-06,2
Якутск - Якутск,2016-09-06,2
Мурманск - Мурманск,2016-09-06,2
Курск - Курск-Восточный,2016-09-06,2
Грозный - Грозный,2016-09-06,2
Норильск - Норильск,2016-09-06,2
Астрахань - Астрахань,2016-09-06,2
Череповец - Череповец,2016-09-06,2
Иваново - Иваново-Южный,2016-09-06,2
Белоярский - Белоярский,2016-09-06,2
Воронеж - Воронеж,2016-09-06,2
Барнаул - Барнаул,2016-09-06,2
Салехард - Салехард,2016-09-06,2
Кемерово - Кемерово,2016-09-06,2
Горно-Алтайск - Горно-Алтайск,2016-09-06,2
Саранск - Саранск,2016-09-06,2
Стрежевой - Стрежевой,2016-09-06,1
Ярославль - Туношна,2016-09-06,1
Псков - Псков,2016-09-06,1
Магадан - Магадан,2016-09-06,1
Благовещенск - Игнатьево,2016-09-06,1
Ижевск - Ижевск,2016-09-06,1
Усть-Кут - Усть-Кут,2016-09-06,1
Чита - Чита,2016-09-06,1
Братск - Братск,2016-09-06,1
Орск - Орск,2016-09-06,1
Удачный - Полярный,2016-09-06,1
Улан-Удэ - Байкал,2016-09-06,1
Нефтеюганск - Нефтеюганск,2016-09-06,1
Надым - Надым,2016-09-06,1
Анадырь - Анадырь,2016-09-06,1
Липецк - Липецк,2016-09-06,1
Кызыл - Кызыл,2016-09-06,1
Нягань - Нягань,2016-09-06,1
Москва - Шереметьево,2016-09-07,49
Москва - Домодедово,2016-09-07,49
Санкт-Петербург - Пулково,2016-09-07,33
Москва - Внуково,2016-09-07,26
Новосибирск - Толмачёво,2016-09-07,17
Красноярск - Емельяново,2016-09-07,12
Екатеринбург - Кольцово,2016-09-07,12
Сочи - Сочи,2016-09-07,11
Пермь - Пермь,2016-09-07,11
Ханты-Мансийск - Ханты-Мансийск,2016-09-07,10
Брянск - Брянск,2016-09-07,10
Сургут - Сургут,2016-09-07,10
Ростов-на-Дону - Ростов-на-Дону,2016-09-07,9
Советский - Советский,2016-09-07,9
Новый Уренгой - Новый Уренгой,2016-09-07,8
Казань - Казань,2016-09-07,8
Иркутск - Иркутск,2016-09-07,7
Мирный - Мирный,2016-09-07,7
Челябинск - Челябинск,2016-09-07,7
Тюмень - Рощино,2016-09-07,7
Уфа - Уфа,2016-09-07,7
Ульяновск - Баратаевка,2016-09-07,6
Хабаровск - Хабаровск-Новый,2016-09-07,6
Новокузнецк - Спиченково,2016-09-07,6
Киров - Победилово,2016-09-07,6
Краснодар - Краснодар,2016-09-07,6
Белгород - Белгород,2016-09-07,6
Архангельск - Талаги,2016-09-07,6
Нижний Новгород - Стригино,2016-09-07,6
Воркута - Воркута,2016-09-07,5
Йошкар-Ола - Йошкар-Ола,2016-09-07,5
Оренбург - Оренбург-Центральный,2016-09-07,5
Волгоград - Гумрак,2016-09-07,5
Чебоксары - Чебоксары,2016-09-07,5
Абакан - Абакан,2016-09-07,5
Петрозаводск - Бесовец,2016-09-07,5
Элиста - Элиста,2016-09-07,5
Нижневартовск - Нижневартовск,2016-09-07,4
Пенза - Пенза,2016-09-07,4
Тамбов - Донское,2016-09-07,4
Южно-Сахалинск - Хомутово,2016-09-07,4
Якутск - Якутск,2016-09-07,4
Саратов - Саратов-Центральный,2016-09-07,4
Минеральные Воды - Минеральные Воды,2016-09-07,4
Надым - Надым,2016-09-07,4
Сыктывкар - Сыктывкар,2016-09-07,4
Нижнекамск - Бегишево,2016-09-07,4
Магнитогорск - Магнитогорск,2016-09-07,4
Махачкала - Уйташ,2016-09-07,4
Омск - Омск-Центральный,2016-09-07,3
Когалым - Когалым,2016-09-07,3
Курск - Курск-Восточный,2016-09-07,3
Томск - Богашёво,2016-09-07,3
Бугульма - Бугульма,2016-09-07,3
Калининград - Храброво,2016-09-07,3
Барнаул - Барнаул,2016-09-07,3
Ухта - Ухта,2016-09-07,3
Ульяновск - Ульяновск-Восточный,2016-09-07,3
Астрахань - Астрахань,2016-09-07,3
Нальчик - Нальчик,2016-09-07,3
Самара - Курумоч,2016-09-07,3
Владивосток - Владивосток,2016-09-07,3
Нарьян-Мар - Нарьян-Мар,2016-09-07,3
Чита - Чита,2016-09-07,3
Ярославль - Туношна,2016-09-07,2
Урай - Петрозаводск,2016-09-07,2
Череповец - Череповец,2016-09-07,2
Саранск - Саранск,2016-09-07,2
Кемерово - Кемерово,2016-09-07,2
Анапа - Витязево,2016-09-07,2
Курган - Курган,2016-09-07,2
Усть-Илимск - Усть-Илимск,2016-09-07,2
Геленджик - Геленджик,2016-09-07,2
Воронеж - Воронеж,2016-09-07,2
Салехард - Салехард,2016-09-07,2
Ноябрьск - Ноябрьск,2016-09-07,2
Норильск - Норильск,2016-09-07,2
Мурманск - Мурманск,2016-09-07,2
Нерюнгри - Чульман,2016-09-07,2
Владикавказ - Беслан,2016-09-07,2
Горно-Алтайск - Горно-Алтайск,2016-09-07,1
Стрежевой - Стрежевой,2016-09-07,1
Калуга - Калуга,2016-09-07,1
Анадырь - Анадырь,2016-09-07,1
Ставрополь - Ставрополь,2016-09-07,1
Псков - Псков,2016-09-07,1
Ижевск - Ижевск,2016-09-07,1
Нефтеюганск - Нефтеюганск,2016-09-07,1
Магадан - Магадан,2016-09-07,1
Комсомольск-на-Амуре - Хурба,2016-09-07,1
Петропавловск-Камчатский - Елизово,2016-09-07,1
Орск - Орск,2016-09-07,1
Грозный - Грозный,2016-09-07,1
Благовещенск - Игнатьево,2016-09-07,1
Усть-Кут - Усть-Кут,2016-09-07,1
Братск - Братск,2016-09-07,1
Москва - Домодедово,2016-09-08,54
Москва - Шереметьево,2016-09-08,49
Санкт-Петербург - Пулково,2016-09-08,30
Москва - Внуково,2016-09-08,30
Новосибирск - Толмачёво,2016-09-08,17
Красноярск - Емельяново,2016-09-08,12
Екатеринбург - Кольцово,2016-09-08,12
Ростов-на-Дону - Ростов-на-Дону,2016-09-08,11
Брянск - Брянск,2016-09-08,10
Пермь - Пермь,2016-09-08,10
Сочи - Сочи,2016-09-08,9
Советский - Советский,2016-09-08,9
Новый Уренгой - Новый Уренгой,2016-09-08,9
Сургут - Сургут,2016-09-08,8
Ханты-Мансийск - Ханты-Мансийск,2016-09-08,8
Казань - Казань,2016-09-08,8
Хабаровск - Хабаровск-Новый,2016-09-08,7
Ульяновск - Баратаевка,2016-09-08,7
Тюмень - Рощино,2016-09-08,7
Петрозаводск - Бесовец,2016-09-08,7
Белгород - Белгород,2016-09-08,6
Челябинск - Челябинск,2016-09-08,6
Иркутск - Иркутск,2016-09-08,6
Киров - Победилово,2016-09-08,6
Нижний Новгород - Стригино,2016-09-08,6
Курган - Курган,2016-09-08,6
Уфа - Уфа,2016-09-08,6
Мирный - Мирный,2016-09-08,6
Волгоград - Гумрак,2016-09-08,5
Томск - Богашёво,2016-09-08,5
Южно-Сахалинск - Хомутово,2016-09-08,5
Чебоксары - Чебоксары,2016-09-08,5
Архангельск - Талаги,2016-09-08,5
Оренбург - Оренбург-Центральный,2016-09-08,5
Новокузнецк - Спиченково,2016-09-08,5
Воркута - Воркута,2016-09-08,5
Элиста - Элиста,2016-09-08,5
Ноябрьск - Ноябрьск,2016-09-08,5
Сыктывкар - Сыктывкар,2016-09-08,4
Магнитогорск - Магнитогорск,2016-09-08,4
Пенза - Пенза,2016-09-08,4
Йошкар-Ола - Йошкар-Ола,2016-09-08,4
Тамбов - Донское,2016-09-08,4
Нижнекамск - Бегишево,2016-09-08,4
Саратов - Саратов-Центральный,2016-09-08,4
Усть-Илимск - Усть-Илимск,2016-09-08,4
Абакан - Абакан,2016-09-08,3
Владивосток - Владивосток,2016-09-08,3
Калуга - Калуга,2016-09-08,3
Краснодар - Краснодар,2016-09-08,3
Бугульма - Бугульма,2016-09-08,3
Минеральные Воды - Минеральные Воды,2016-09-08,3
Ульяновск - Ульяновск-Восточный,2016-09-08,3
Омск - Омск-Центральный,2016-09-08,3
Нижневартовск - Нижневартовск,2016-09-08,3
Когалым - Когалым,2016-09-08,3
Нальчик - Нальчик,2016-09-08,3
Улан-Удэ - Байкал,2016-09-08,3
Самара - Курумоч,2016-09-08,3
Нерюнгри - Чульман,2016-09-08,3
Геленджик - Геленджик,2016-09-08,3
Махачкала - Уйташ,2016-09-08,3
Ухта - Ухта,2016-09-08,3
Владикавказ - Беслан,2016-09-08,2
Якутск - Якутск,2016-09-08,2
Норильск - Норильск,2016-09-08,2
Надым - Надым,2016-09-08,2
Воронеж - Воронеж,2016-09-08,2
Анапа - Витязево,2016-09-08,2
Астрахань - Астрахань,2016-09-08,2
Курск - Курск-Восточный,2016-09-08,2
Урай - Петрозаводск,2016-09-08,2
Череповец - Череповец,2016-09-08,2
Ставрополь - Ставрополь,2016-09-08,2
Орск - Орск,2016-09-08,2
Мурманск - Мурманск,2016-09-08,2
Саранск - Саранск,2016-09-08,2
Нарьян-Мар - Нарьян-Мар,2016-09-08,2
Барнаул - Барнаул,2016-09-08,2
Белоярский - Белоярский,2016-09-08,2
Псков - Псков,2016-09-08,2
Калининград - Храброво,2016-09-08,2
Салехард - Салехард,2016-09-08,2
Усть-Кут - Усть-Кут,2016-09-08,1
Кемерово - Кемерово,2016-09-08,1
Липецк - Липецк,2016-09-08,1
Ярославль - Туношна,2016-09-08,1
Нефтеюганск - Нефтеюганск,2016-09-08,1
Анадырь - Анадырь,2016-09-08,1
Братск - Братск,2016-09-08,1
Грозный - Грозный,2016-09-08,1
Горно-Алтайск - Горно-Алтайск,2016-09-08,1
Благовещенск - Игнатьево,2016-09-08,1
Ижевск - Ижевск,2016-09-08,1
Стрежевой - Стрежевой,2016-09-08,1
Чита - Чита,2016-09-08,1
Кызыл - Кызыл,2016-09-08,1
Магадан - Магадан,2016-09-08,1
Москва - Домодедово,2016-09-09,51
Москва - Шереметьево,2016-09-09,47
Санкт-Петербург - Пулково,2016-09-09,30
Москва - Внуково,2016-09-09,26
Новосибирск - Толмачёво,2016-09-09,17
Красноярск - Емельяново,2016-09-09,11
Пермь - Пермь,2016-09-09,10
Брянск - Брянск,2016-09-09,10
Екатеринбург - Кольцово,2016-09-09,10
Ростов-на-Дону - Ростов-на-Дону,2016-09-09,9
Советский - Советский,2016-09-09,9
Сургут - Сургут,2016-09-09,8
Новый Уренгой - Новый Уренгой,2016-09-09,8
Сочи - Сочи,2016-09-09,8
Ханты-Мансийск - Ханты-Мансийск,2016-09-09,8
Казань - Казань,2016-09-09,7
Белгород - Белгород,2016-09-09,6
Хабаровск - Хабаровск-Новый,2016-09-09,6
Киров - Победилово,2016-09-09,6
Челябинск - Челябинск,2016-09-09,6
Тюмень - Рощино,2016-09-09,6
Ульяновск - Баратаевка,2016-09-09,6
Мирный - Мирный,2016-09-09,6
Уфа - Уфа,2016-09-09,6
Чебоксары - Чебоксары,2016-09-09,5
Петрозаводск - Бесовец,2016-09-09,5
Новокузнецк - Спиченково,2016-09-09,5
Волгоград - Гумрак,2016-09-09,5
Иркутск - Иркутск,2016-09-09,5
Оренбург - Оренбург-Центральный,2016-09-09,5
Нижний Новгород - Стригино,2016-09-09,5
Элиста - Элиста,2016-09-09,4
Саратов - Саратов-Центральный,2016-09-09,4
Магнитогорск - Магнитогорск,2016-09-09,4
Омск - Омск-Центральный,2016-09-09,4
Южно-Сахалинск - Хомутово,2016-09-09,4
Пенза - Пенза,2016-09-09,4
Сыктывкар - Сыктывкар,2016-09-09,4
Тамбов - Донское,2016-09-09,4
Йошкар-Ола - Йошкар-Ола,2016-09-09,4
Воркута - Воркута,2016-09-09,4
Архангельск - Талаги,2016-09-09,4
Когалым - Когалым,2016-09-09,3
Краснодар - Краснодар,2016-09-09,3
Нальчик - Нальчик,2016-09-09,3
Томск - Богашёво,2016-09-09,3
Норильск - Норильск,2016-09-09,3
Бугульма - Бугульма,2016-09-09,3
Владивосток - Владивосток,2016-09-09,3
Ухта - Ухта,2016-09-09,3
Абакан - Абакан,2016-09-09,3
Махачкала - Уйташ,2016-09-09,3
Нижневартовск - Нижневартовск,2016-09-09,3
Нарьян-Мар - Нарьян-Мар,2016-09-09,3
Ульяновск - Ульяновск-Восточный,2016-09-09,3
Минеральные Воды - Минеральные Воды,2016-09-09,3
Самара - Курумоч,2016-09-09,3
Нижнекамск - Бегишево,2016-09-09,3
Астрахань - Астрахань,2016-09-09,2
Салехард - Салехард,2016-09-09,2
Ставрополь - Ставрополь,2016-09-09,2
Владикавказ - Беслан,2016-09-09,2
Урай - Петрозаводск,2016-09-09,2
Калининград - Храброво,2016-09-09,2
Курган - Курган,2016-09-09,2
Ноябрьск - Ноябрьск,2016-09-09,2
Мурманск - Мурманск,2016-09-09,2
Барнаул - Барнаул,2016-09-09,2
Усть-Илимск - Усть-Илимск,2016-09-09,2
Саранск - Саранск,2016-09-09,2
Курск - Курск-Восточный,2016-09-09,2
Нерюнгри - Чульман,2016-09-09,2
Череповец - Череповец,2016-09-09,2
Анапа - Витязево,2016-09-09,2
Якутск - Якутск,2016-09-09,2
Воронеж - Воронеж,2016-09-09,2
Горно-Алтайск - Горно-Алтайск,2016-09-09,1
Надым - Надым,2016-09-09,1
Усть-Кут - Усть-Кут,2016-09-09,1
Братск - Братск,2016-09-09,1
Псков - Псков,2016-09-09,1
Ижевск - Ижевск,2016-09-09,1
Благовещенск - Игнатьево,2016-09-09,1
Калуга - Калуга,2016-09-09,1
Грозный - Грозный,2016-09-09,1
Чита - Чита,2016-09-09,1
Липецк - Липецк,2016-09-09,1
Ярославль - Туношна,2016-09-09,1
Стрежевой - Стрежевой,2016-09-09,1
Москва - Домодедово,2016-09-10,53
Москва - Шереметьево,2016-09-10,50
Санкт-Петербург - Пулково,2016-09-10,32
Москва - Внуково,2016-09-10,28
Новосибирск - Толмачёво,2016-09-10,17
Ростов-на-Дону - Ростов-на-Дону,2016-09-10,13
Екатеринбург - Кольцово,2016-09-10,12
Сочи - Сочи,2016-09-10,11
Красноярск - Емельяново,2016-09-10,11
Сургут - Сургут,2016-09-10,10
Пермь - Пермь,2016-09-10,10
Брянск - Брянск,2016-09-10,10
Советский - Советский,2016-09-10,9
Новокузнецк - Спиченково,2016-09-10,8
Тюмень - Рощино,2016-09-10,8
Хабаровск - Хабаровск-Новый,2016-09-10,8
Казань - Казань,2016-09-10,8
Ханты-Мансийск - Ханты-Мансийск,2016-09-10,8
Новый Уренгой - Новый Уренгой,2016-09-10,8
Челябинск - Челябинск,2016-09-10,8
Иркутск - Иркутск,2016-09-10,7
Ульяновск - Баратаевка,2016-09-10,7
Нижний Новгород - Стригино,2016-09-10,7
Мирный - Мирный,2016-09-10,7
Киров - Победилово,2016-09-10,6
Архангельск - Талаги,2016-09-10,6
Петрозаводск - Бесовец,2016-09-10,6
Белгород - Белгород,2016-09-10,6
Уфа - Уфа,2016-09-10,6
Элиста - Элиста,2016-09-10,5
Чебоксары - Чебоксары,2016-09-10,5
Абакан - Абакан,2016-09-10,5
Волгоград - Гумрак,2016-09-10,5
Йошкар-Ола - Йошкар-Ола,2016-09-10,5
Оренбург - Оренбург-Центральный,2016-09-10,5
Геленджик - Геленджик,2016-09-10,4
Томск - Богашёво,2016-09-10,4
Магнитогорск - Магнитогорск,2016-09-10,4
Сыктывкар - Сыктывкар,2016-09-10,4
Минеральные Воды - Минеральные Воды,2016-09-10,4
Тамбов - Донское,2016-09-10,4
Саратов - Саратов-Центральный,2016-09-10,4
Южно-Сахалинск - Хомутово,2016-09-10,4
Краснодар - Краснодар,2016-09-10,4
Воркута - Воркута,2016-09-10,4
Махачкала - Уйташ,2016-09-10,4
Нижнекамск - Бегишево,2016-09-10,4
Пенза - Пенза,2016-09-10,4
Барнаул - Барнаул,2016-09-10,4
Бугульма - Бугульма,2016-09-10,3
Якутск - Якутск,2016-09-10,3
Надым - Надым,2016-09-10,3
Астрахань - Астрахань,2016-09-10,3
Ульяновск - Ульяновск-Восточный,2016-09-10,3
Калининград - Храброво,2016-09-10,3
Омск - Омск-Центральный,2016-09-10,3
Нальчик - Нальчик,2016-09-10,3
Когалым - Когалым,2016-09-10,3
Курск - Курск-Восточный,2016-09-10,3
Усть-Илимск - Усть-Илимск,2016-09-10,3
Кемерово - Кемерово,2016-09-10,3
Владивосток - Владивосток,2016-09-10,3
Нижневартовск - Нижневартовск,2016-09-10,3
Курган - Курган,2016-09-10,3
Ноябрьск - Ноябрьск,2016-09-10,3
Ухта - Ухта,2016-09-10,3
Самара - Курумоч,2016-09-10,3
Калуга - Калуга,2016-09-10,3
Иваново - Иваново-Южный,2016-09-10,2
Нерюнгри - Чульман,2016-09-10,2
Воронеж - Воронеж,2016-09-10,2
Салехард - Салехард,2016-09-10,2
Анапа - Витязево,2016-09-10,2
Нарьян-Мар - Нарьян-Мар,2016-09-10,2
Мурманск - Мурманск,2016-09-10,2
Псков - Псков,2016-09-10,2
Урай - Петрозаводск,2016-09-10,2
Владикавказ - Беслан,2016-09-10,2
Череповец - Череповец,2016-09-10,2
Чита - Чита,2016-09-10,2
Саранск - Саранск,2016-09-10,2
Кызыл - Кызыл,2016-09-10,2
Норильск - Норильск,2016-09-10,2
Улан-Удэ - Байкал,2016-09-10,1
Белоярский - Белоярский,2016-09-10,1
Нефтеюганск - Нефтеюганск,2016-09-10,1
Усть-Кут - Усть-Кут,2016-09-10,1
Петропавловск-Камчатский - Елизово,2016-09-10,1
Ярославль - Туношна,2016-09-10,1
Горно-Алтайск - Горно-Алтайск,2016-09-10,1
Благовещенск - Игнатьево,2016-09-10,1
Орск - Орск,2016-09-10,1
Ижевск - Ижевск,2016-09-10,1
Братск - Братск,2016-09-10,1
Стрежевой - Стрежевой,2016-09-10,1
Грозный - Грозный,2016-09-10,1
Ставрополь - Ставрополь,2016-09-10,1
Липецк - Липецк,2016-09-10,1
Москва - Домодедово,2016-09-11,54
Москва - Шереметьево,2016-09-11,50
Санкт-Петербург - Пулково,2016-09-11,32
Москва - Внуково,2016-09-11,30
Новосибирск - Толмачёво,2016-09-11,17
Красноярск - Емельяново,2016-09-11,13
Сочи - Сочи,2016-09-11,11
Екатеринбург - Кольцово,2016-09-11,11
Брянск - Брянск,2016-09-11,10
Пермь - Пермь,2016-09-11,10
Ростов-на-Дону - Ростов-на-Дону,2016-09-11,10
Ханты-Мансийск - Ханты-Мансийск,2016-09-11,9
Сургут - Сургут,2016-09-11,9
Советский - Советский,2016-09-11,9
Казань - Казань,2016-09-11,8
Новый Уренгой - Новый Уренгой,2016-09-11,8
Уфа - Уфа,2016-09-11,7
Архангельск - Талаги,2016-09-11,7
Воркута - Воркута,2016-09-11,6
Тюмень - Рощино,2016-09-11,6
Петрозаводск - Бесовец,2016-09-11,6
Ульяновск - Баратаевка,2016-09-11,6
Элиста - Элиста,2016-09-11,6
Киров - Победилово,2016-09-11,6
Белгород - Белгород,2016-09-11,6
Челябинск - Челябинск,2016-09-11,6
Мирный - Мирный,2016-09-11,6
Иркутск - Иркутск,2016-09-11,6
Хабаровск - Хабаровск-Новый,2016-09-11,6
Оренбург - Оренбург-Центральный,2016-09-11,5
Чебоксары - Чебоксары,2016-09-11,5
Нижний Новгород - Стригино,2016-09-11,5
Сыктывкар - Сыктывкар,2016-09-11,5
Волгоград - Гумрак,2016-09-11,5
Краснодар - Краснодар,2016-09-11,5
Новокузнецк - Спиченково,2016-09-11,5
Южно-Сахалинск - Хомутово,2016-09-11,5
Нижнекамск - Бегишево,2016-09-11,4
Абакан - Абакан,2016-09-11,4
Якутск - Якутск,2016-09-11,4
Тамбов - Донское,2016-09-11,4
Ноябрьск - Ноябрьск,2016-09-11,4
Йошкар-Ола - Йошкар-Ола,2016-09-11,4
Пенза - Пенза,2016-09-11,4
Томск - Богашёво,2016-09-11,4
Магнитогорск - Магнитогорск,2016-09-11,4
Минеральные Воды - Минеральные Воды,2016-09-11,4
Курган - Курган,2016-09-11,4
Саратов - Саратов-Центральный,2016-09-11,4
Нарьян-Мар - Нарьян-Мар,2016-09-11,3
Нальчик - Нальчик,2016-09-11,3
Барнаул - Барнаул,2016-09-11,3
Омск - Омск-Центральный,2016-09-11,3
Ухта - Ухта,2016-09-11,3
Самара - Курумоч,2016-09-11,3
Махачкала - Уйташ,2016-09-11,3
Калининград - Храброво,2016-09-11,3
Ульяновск - Ульяновск-Восточный,2016-09-11,3
Когалым - Когалым,2016-09-11,3
Усть-Илимск - Усть-Илимск,2016-09-11,3
Астрахань - Астрахань,2016-09-11,3
Владивосток - Владивосток,2016-09-11,3
Череповец - Череповец,2016-09-11,3
Нижневартовск - Нижневартовск,2016-09-11,3
Ставрополь - Ставрополь,2016-09-11,3
Бугульма - Бугульма,2016-09-11,3
Урай - Петрозаводск,2016-09-11,2
Мурманск - Мурманск,2016-09-11,2
Псков - Псков,2016-09-11,2
Анапа - Витязево,2016-09-11,2
Курск - Курск-Восточный,2016-09-11,2
Салехард - Салехард,2016-09-11,2
Воронеж - Воронеж,2016-09-11,2
Надым - Надым,2016-09-11,2
Нерюнгри - Чульман,2016-09-11,2
Владикавказ - Беслан,2016-09-11,2
Орск - Орск,2016-09-11,2
Ярославль - Туношна,2016-09-11,2
Норильск - Норильск,2016-09-11,2
Чита - Чита,2016-09-11,2
Саранск - Саранск,2016-09-11,2
Горно-Алтайск - Горно-Алтайск,2016-09-11,2
Кемерово - Кемерово,2016-09-11,1
Калуга - Калуга,2016-09-11,1
Анадырь - Анадырь,2016-09-11,1
Улан-Удэ - Байкал,2016-09-11,1
